variant,month,calendar_days,trade_days,stock_trades,wins,losses,win_rate_pct,compound_pct,mdd_pct,mean_trade_pct,worst_day_pct,weeks,eligible_weeks,weeks_ge2,weeks_lt2,weeks_ge2_pct,average_trade_days_per_week,minimum_trade_days_per_eligible_week,fallback_days,primary_days,fallback_share_pct,ambiguous_positions,missing_pair_rejections,complete,missing_result_days
win,2024-10,20,9,9,4,5,44.44444444444444,-3.5038782314483097,-7.088586845017075,-0.3715642225968192,-4.55090720580612,5,5,4,1,80.0,1.8,1,8,1,88.88888888888889,0,0,True,0
win,2024-11,21,10,10,1,9,10.0,-3.735220022226027,-3.735220022226027,-0.3763823979872091,-1.4981566820276513,5,4,4,0,100.0,2.0,2,7,3,70.0,0,0,True,0
win,2024-12,20,11,11,6,5,54.54545454545455,7.145198410897202,-4.153754940711463,0.6574937894523966,-4.153754940711463,5,4,4,0,100.0,2.2,2,9,2,81.81818181818181,0,0,True,0
win,2025-01,18,12,12,7,5,58.333333333333336,1.7876141248447386,-1.784480431848845,0.152354744141433,-1.7844804318488559,5,4,4,0,100.0,2.4,2,5,7,41.666666666666664,0,0,True,0
win,2025-02,20,9,9,5,4,55.55555555555556,3.573043708324275,-4.391927977057685,0.4087262699666961,-2.9347305389221585,4,4,4,0,100.0,2.25,2,7,2,77.77777777777777,0,0,True,0
win,2025-03,20,9,9,5,4,55.55555555555556,13.764010188209074,-3.313656219760408,1.4864307047137042,-1.9949152542372837,5,4,4,0,100.0,1.8,2,6,3,66.66666666666667,0,0,True,0
win,2025-04,22,9,9,4,5,44.44444444444444,-6.659397712742187,-7.499758343029928,-0.7505358434623481,-4.133333333333333,5,5,4,1,80.0,1.8,1,9,0,100.0,0,0,True,0
win,2025-05,19,9,9,4,5,44.44444444444444,0.03224289721655005,-4.013749267029598,0.01045069338655721,-1.9867469879518038,5,4,4,0,100.0,1.8,2,6,3,66.66666666666667,0,0,True,0
win,2025-06,19,10,10,7,3,70.0,18.357453800385713,-3.118958956072748,1.7301942785756945,-1.6122482185556783,5,4,4,0,100.0,2.0,2,9,1,90.0,0,0,True,0
win,2025-07,23,14,14,5,9,35.714285714285715,-11.205544610334883,-11.205544610334883,-0.8295520817226292,-5.4790633608815416,5,5,5,0,100.0,2.8,2,7,7,50.0,0,0,True,0
