policy,m,d,n,c,nm,mk,hr,cs,px,tv,mc,chg,dig,risk,cl,wick,body,pat,th,br,rank,fol,fturn,dir,fresh,estr,evt,evidence_at,audit,neg,ask,bid,spr,mode,open,high,low,exit,known,next_open_price,next_high_price,next_low_price,next_close_price,historical_alerts_verified,theme_membership_asof,candidate_kind,valid,safe,vol20,mom20,score_gap_ridge,score_utility_ridge,score_win_loss_ridge,score_stop_ridge,weight,route,net_return_pct
balanced,2024-02,2024-02-07,2024-02-08,047310,파워로직스,KOSDAQ,False,True,14050.0,343297433050.0,514317957166.39215,22.814685314685317,1.3972786865293931,0.1590747330960854,0.765625,0.234375,0.765625,100.0,초전도체,1.0,2.0,2.0,816595903762.5,0.0,0.0,,,,False,False,,,,DAILY_PROXY,1.2811387900355964,17.437722419928825,-2.9893238434163694,5.978647686832739,True,14230.0,16500.0,13630.0,14890.0,False,False,RETROSPECTIVE_PROXY,True,True,9.69544255753529,18.181818181818187,1.2734799643206889,0.9962304239685207,0.6001313055391606,0.4178038525919769,1.0,backup,0.9811387900355963
balanced,2024-02,2024-02-08,2024-02-13,033290,로젠,KOSDAQ,False,True,3985.0,101583826750.0,223829396325.4593,24.726134585289515,2.017237711621087,0.1074027603513174,0.8206521739130435,0.1793478260869565,0.7717391304347826,65.0,수소에너지(수소차/연료전지 등),0.490566037735849,1.0,1.0,38162373935.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,-1.6311166875784155,1.7565872020075313,-4.767879548306153,-3.764115432873272,True,3920.0,4055.0,3795.0,3835.0,False,False,RETROSPECTIVE_PROXY,True,True,6.831894731183184,-65.19607843137256,1.6665010559914932,1.661515753802758,0.6910763160854375,0.9897966415952907,1.0,backup,0.45
balanced,2024-02,2024-02-15,2024-02-16,101670,하이드로리튬,KOSDAQ,False,True,6100.0,125474755200.0,346081632653.0612,19.842829076620827,0.6681730683042604,0.1901639344262295,0.7101449275362319,0.2898550724637681,0.6086956521739131,65.0,리튬,0.9047619047619048,1.0,2.0,45037295235.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,4.590163934426239,5.737704918032782,-4.426229508196721,1.4754098360655776,True,6380.0,6450.0,5830.0,6190.0,False,False,RETROSPECTIVE_PROXY,True,True,4.298247346513322,-19.968553459119498,1.2057450668416543,0.7856358347647079,0.5510956984096895,0.3933084370643909,1.0,backup,4.290163934426239
balanced,2024-02,2024-02-16,2024-02-19,032620,GC메디아이,KOSDAQ,False,True,6200.0,127306689400.0,323600000000.0,23.260437375745525,1.2760470867222773,0.1948387096774193,1.0,0.0,1.0,85.0,원격진료/비대면진료(U-Healthcare),0.95,3.0,2.0,456155685694.5,0.0,0.0,,,,False,False,,,,DAILY_PROXY,9.838709677419356,18.870967741935484,2.0967741935483897,5.967741935483861,True,6810.0,7370.0,6330.0,6570.0,False,False,RETROSPECTIVE_PROXY,True,True,3.3614802915250688,7.021276595744674,1.6598835507477225,1.2502111795656565,0.5376662709363214,0.9584618073352451,1.0,backup,9.538709677419355
balanced,2024-02,2024-02-19,2024-02-20,036460,한국가스공사,KOSPI,False,True,30600.0,111394159200.0,2824789743589.744,12.70718232044199,1.8715350083646565,0.0988562091503268,1.0,0.0,0.8870967741935484,85.0,도시가스,1.0,1.0,0.0,9146681625.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,0.9803921568627416,1.1437908496731986,-4.084967320261434,-1.6339869281045805,True,30900.0,30950.0,29350.0,30100.0,False,False,RETROSPECTIVE_PROXY,True,True,3.071343907553171,18.043478260869563,0.011195993330876376,-0.12881807184665667,0.48968363107204416,-0.6064579732776643,1.0,primary,0.6803921568627416
balanced,2024-02,2024-02-21,2024-02-22,032830,삼성생명,KOSPI,False,True,88300.0,130968237700.0,17660000000000.0,8.078335373317014,0.6530041669725354,0.0707814269535673,0.9666666666666668,0.0333333333333333,0.9666666666666668,85.0,생명보험,0.75,1.0,0.0,16860087806.25,0.0,0.0,,,,False,False,,,,DAILY_PROXY,-0.5662514156285381,5.549263873159682,-1.359003397508496,4.303510758776907,True,87800.0,93200.0,87100.0,92100.0,False,False,RETROSPECTIVE_PROXY,True,True,3.2126915246448653,34.375,-0.10373411518693447,-0.19224074283799303,0.5387162722690066,-0.6583518613375925,1.0,primary,0.45
balanced,2024-02,2024-02-28,2024-02-29,232140,와이씨,KOSDAQ,False,True,6690.0,156926252910.0,548887979539.642,13.389830508474576,0.5710182289844257,0.091778774289985,0.8780487804878049,0.1219512195121951,0.8414634146341463,100.0,HBM(고대역폭메모리),0.7878787878787878,1.0,2.0,588049274500.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,-2.391629297458897,1.4947683109117982,-4.33482810164425,-0.1494768310911776,True,6530.0,6790.0,6400.0,6680.0,False,False,RETROSPECTIVE_PROXY,True,True,3.99600376314724,-11.144578313253017,-0.054895899409430876,-0.2703656445529077,0.5398649243302704,-0.842823297712118,1.0,primary,0.45
balanced,2024-02,2024-02-29,2024-03-04,041020,폴라리스오피스,KOSDAQ,False,True,7940.0,310559808440.0,394498175787.728,21.779141104294485,0.8437576864348817,0.1283375314861461,0.7928571428571428,0.2071428571428571,0.7071428571428572,85.0,NFT(대체불가토큰),0.4444444444444444,2.0,1.0,293224826387.5,0.0,0.0,,,,False,False,,,,DAILY_PROXY,5.163727959697728,9.068010075566749,-1.0075566750629703,0.7556675062972307,True,8350.0,8660.0,7860.0,8000.0,False,False,RETROSPECTIVE_PROXY,True,True,5.089681888765068,-7.122507122507127,0.7892023042791696,0.6341396673230397,0.5848765153819724,0.17186859381210354,1.0,backup,4.863727959697728
balanced,2024-03,2024-03-07,2024-03-08,141080,리가켐바이오,KOSDAQ,False,True,75800.0,470956163600.0,2806083043478.2607,-2.3195876288659822,0.5034048459225328,0.2156332453825857,0.75,0.25,0.1538461538461538,65.0,면역항암제,0.375,21.0,2.0,63543525585.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,-1.715039577836408,5.936675461741414,-4.089709762532978,4.221635883905006,True,74500.0,80300.0,72700.0,79000.0,False,False,RETROSPECTIVE_PROXY,True,True,7.225408143484547,59.506680369989716,0.7816541902904512,0.5147784388990432,0.5479554725421669,0.2830972868051821,1.0,backup,0.45
balanced,2024-03,2024-03-08,2024-03-11,281740,레이크머티리얼즈,KOSDAQ,False,True,29650.0,575460186700.0,1948964737793.852,26.709401709401703,3.970149629397932,0.2397976391231028,0.8571428571428571,0.1428571428571428,0.7904761904761904,85.0,2차전지(전고체),0.6153846153846154,1.0,2.0,454155300000.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,0.5059021922428242,11.635750421585156,-3.372681281618884,3.3726812816188945,True,29800.0,33100.0,28650.0,30650.0,False,False,RETROSPECTIVE_PROXY,True,True,5.314383432199225,55.68862275449102,1.8240113865158127,1.4738917503393931,0.5552558534118168,1.211507974888082,1.0,backup,0.45
balanced,2024-03,2024-03-11,2024-03-12,454910,두산로보틱스,KOSPI,False,True,89000.0,273772722000.0,5768995614035.088,8.009708737864084,0.2574315646560017,0.0793258426966292,0.9080459770114944,0.0919540229885057,0.7241379310344828,85.0,로봇(산업용/협동로봇 등),0.5,2.0,2.0,275548599465.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,0.0,0.1123595505617913,-4.269662921348316,-3.483146067415732,True,89000.0,89100.0,85200.0,85900.0,False,False,RETROSPECTIVE_PROXY,True,True,3.171302017674323,12.722298221614237,0.1492226309324066,-0.14577063134401566,0.5384516751424538,-0.4082817274263623,1.0,primary,-3.783146067415732
balanced,2024-03,2024-03-12,2024-03-13,006400,삼성SDI,KOSPI,False,True,449865.0,675495240615.0,36252633719890.51,11.12442259713955,0.8970710982318431,0.09662676580752,0.9620397186594952,0.0379602813405047,0.9620397186594952,100.0,2차전지(생산),1.0,1.0,1.0,202836562275.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,-1.305947339757485,1.9585875762728744,-2.720371667055677,0.0,True,443990.0,458676.0,437627.0,449865.0,False,False,RETROSPECTIVE_PROXY,True,True,3.545844743253843,8.246209791705649,0.07740801951138705,-0.28441687798933857,0.5727673694556507,-0.5332425013094235,1.0,primary,0.45
balanced,2024-03,2024-03-14,2024-03-15,042660,한화오션,KOSPI,False,True,27000.0,158754654000.0,8273167050691.245,11.340206185567014,1.519125841288758,0.0925925925925925,0.8571428571428571,0.1428571428571428,0.8571428571428571,100.0,조선,1.0,2.0,2.0,211448805950.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,2.2222222222222143,5.555555555555558,-1.1111111111111072,0.0,True,27600.0,28500.0,26700.0,27000.0,False,False,RETROSPECTIVE_PROXY,True,True,2.9220754053724196,3.1914893617021267,0.2377809507624797,-0.08081176558633409,0.5835926444244945,-0.5344836109326162,1.0,primary,1.9222222222222143
balanced,2024-03,2024-03-20,2024-03-21,240810,원익IPS,KOSDAQ,False,True,37400.0,74865412600.0,1835727526132.404,8.879184861717615,1.0503978409968309,0.0737700534759358,0.8641975308641975,0.1358024691358024,0.7283950617283951,100.0,반도체 장비,0.7586206896551724,8.0,1.0,251407065399.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,0.401069518716568,1.0695187165775444,-1.4705882352941124,0.5347593582887722,True,37550.0,37800.0,36850.0,37600.0,False,False,RETROSPECTIVE_PROXY,True,True,3.452458720502385,12.807881773399021,-0.1532119239084956,-0.24836785924072924,0.5638908646292973,-0.8417605403636707,1.0,primary,0.45
balanced,2024-03,2024-03-21,2024-03-22,084370,유진테크,KOSDAQ,False,True,41450.0,71363387300.0,949857875457.8756,14.030261348005514,1.3378728884011784,0.0649939686369119,0.9,0.1,0.8222222222222222,100.0,반도체 장비,0.6363636363636364,1.0,2.0,103562105625.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,-1.0856453558504175,-1.0856453558504175,-5.548854041013273,-3.49819059107358,True,41000.0,41000.0,39150.0,40000.0,False,False,RETROSPECTIVE_PROXY,True,True,2.608260994109563,-0.9536784741144388,-0.006744963041386585,-0.1240689842268938,0.5558374338250609,-0.7750348144061767,1.0,primary,-3.79819059107358
balanced,2024-03,2024-03-28,2024-03-29,080220,제주반도체,KOSDAQ,False,True,28600.0,798481741200.0,985066852367.688,22.483940042826543,0.8471608692961997,0.1148951048951048,0.9327731092436976,0.0672268907563025,0.8571428571428571,80.0,온디바이스 AI,0.8095238095238095,2.0,2.0,832829261075.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,0.0,6.818181818181812,-1.74825174825175,3.1468531468531458,True,28600.0,30550.0,28100.0,29500.0,False,False,RETROSPECTIVE_PROXY,True,True,2.9939111521018917,-14.468864468864473,1.7104759040754973,1.290173845513193,0.576514499982993,1.126923085172943,1.0,backup,0.45
balanced,2024-03,2024-03-29,2024-04-01,199430,케이엔알시스템,KOSDAQ,False,True,26000.0,220845456000.0,291173803526.4484,22.93144208037825,0.3289345416592231,0.049,0.7883211678832117,0.2116788321167883,0.7445255474452555,80.0,로봇(산업용/협동로봇 등),0.4035087719298245,1.0,1.0,934521233360.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,-3.076923076923077,3.846153846153855,-6.538461538461537,3.846153846153855,True,25200.0,27000.0,24300.0,27000.0,False,False,RETROSPECTIVE_PROXY,True,True,6.12471241385332,,0.9743772816422895,1.0030376007097686,0.6157306909565778,0.4401682556496199,1.0,backup,0.45
balanced,2024-04,2024-04-04,2024-04-05,010120,LS ELECTRIC,KOSPI,False,True,21200.0,107490466000.0,3180000000000.0,13.978494623655925,0.4411796459902793,0.085754716981132,0.935483870967742,0.064516129032258,0.935483870967742,85.0,전력설비,0.9333333333333332,2.0,2.0,114998863225.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,0.2830188679245227,13.207547169811315,-0.4716981132075526,11.886792452830196,True,21260.0,24000.0,21100.0,23720.0,False,False,RETROSPECTIVE_PROXY,True,True,2.523371360211443,17.572692793931722,0.6046356421177104,0.2754370547335532,0.5422206578890721,-0.10195338638661737,1.0,primary,0.45
balanced,2024-04,2024-04-05,2024-04-08,451220,아이엠티,KOSDAQ,False,True,29250.0,256842407250.0,230198555956.6787,21.118012422360245,1.5178002508249255,0.227008547008547,0.7653631284916201,0.2346368715083799,0.6759776536312849,75.0,반도체 장비,0.3068181818181818,1.0,1.0,19877560041.25,0.0,0.0,,,,False,False,,,,DAILY_PROXY,-3.9316239316239288,0.6837606837606813,-6.837606837606836,0.6837606837606813,True,28100.0,29450.0,27250.0,29450.0,False,False,RETROSPECTIVE_PROXY,True,True,3.7236361383313867,4.772234273318876,0.8001184596922726,0.7044803477238333,0.5595856984626602,0.1018932668938831,1.0,backup,0.38376068376068134
balanced,2024-04,2024-04-09,2024-04-11,064350,현대로템,KOSPI,False,True,41150.0,594300933050.0,4491191482649.843,8.86243386243386,1.134981966134323,0.0882138517618469,0.8271604938271605,0.1728395061728395,0.8024691358024691,85.0,GTX(수도권 광역급행철도),0.6666666666666666,1.0,0.0,1305387385.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,0.121506682867567,3.159173754556499,-1.2150668286755817,1.7010935601458057,True,41200.0,42450.0,40650.0,41850.0,False,False,RETROSPECTIVE_PROXY,True,True,2.5121591155515057,20.96,-0.03022176063600099,-0.3011389725495911,0.4934925335907165,-0.5843362784977867,1.0,primary,0.45
balanced,2024-04,2024-04-11,2024-04-12,161390,한국타이어앤테크놀로지,KOSPI,False,True,60500.0,33297385000.0,7494414373088.685,8.03571428571428,1.0461634675533469,0.0928595041322314,1.0,0.0,1.0,85.0,타이어,0.5555555555555556,2.0,1.0,37388459450.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,-0.8264462809917328,1.6528925619834656,-1.983471074380161,-1.157024793388428,True,60000.0,61500.0,59300.0,59800.0,False,False,RETROSPECTIVE_PROXY,True,True,2.5673389997467626,7.279693486590033,0.24731014808277452,0.09863347435647545,0.5985844397262886,-0.4135158775413674,1.0,primary,0.45
balanced,2024-04,2024-04-15,2024-04-16,082740,한화엔진,KOSPI,False,True,10710.0,26106717420.0,893721315789.4738,8.841463414634143,1.219470973766308,0.084407096171802,1.0,0.0,0.8,80.0,LNG(액화천연가스),0.5652173913043478,1.0,1.0,13065152650.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,1.21381886087768,4.388422035480866,-1.4005602240896309,2.7077497665732864,True,10840.0,11180.0,10560.0,11000.0,False,False,RETROSPECTIVE_PROXY,True,True,1.803312574621543,2.8213166144200663,0.3368192309605057,0.20449406075303966,0.5268153122160879,-0.36448810387461256,1.0,primary,0.91381886087768
balanced,2024-04,2024-04-18,2024-04-19,010140,삼성중공업,KOSPI,False,True,9540.0,375626567160.0,8395200000000.0,9.781357882623707,0.7390030969314103,0.0774633123689727,0.8131868131868132,0.1868131868131868,0.8131868131868132,100.0,조선,1.0,2.0,2.0,410645165450.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,0.4192872117400492,1.048218029350112,-3.3542976939203384,0.9433962264151052,True,9580.0,9640.0,9220.0,9630.0,False,False,RETROSPECTIVE_PROXY,True,True,2.0825265900839893,0.0,0.2437092938578804,-0.15103765200289743,0.5324450631038047,-0.4988193534978742,1.0,primary,0.45
balanced,2024-04,2024-04-23,2024-04-24,030520,한컴,KOSDAQ,False,True,24800.0,238310788800.0,599701321079.8391,11.96388261851016,0.741990515621693,0.1,0.8703703703703703,0.1296296296296296,0.5740740740740741,100.0,우주항공산업(누리호/인공위성 등),0.6206896551724138,1.0,2.0,232121700658.5,0.0,0.0,,,,False,False,,,,DAILY_PROXY,3.0241935483871,3.8306451612903247,-0.8064516129032251,0.4032258064516236,True,25550.0,25750.0,24600.0,24900.0,False,False,RETROSPECTIVE_PROXY,True,True,2.884481998408359,3.74707259953162,0.08334658483567067,-0.11188676724297758,0.49503890311422244,-0.7128157771859607,1.0,primary,2.7241935483871003
balanced,2024-04,2024-04-24,2024-04-25,011070,LG이노텍,KOSPI,False,True,209000.0,107644823000.0,4946420106761.566,11.645299145299148,0.8399740847924195,0.0639952153110047,0.95260663507109,0.0473933649289099,0.95260663507109,80.0,카메라모듈/부품,0.9615384615384616,1.0,1.0,38788333890.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,-0.9569377990430672,3.110047846889952,-1.9138755980861235,1.674641148325362,True,207000.0,215500.0,205000.0,212500.0,False,False,RETROSPECTIVE_PROXY,True,True,2.5147621120324466,-2.1432305279665442,0.4753921996084016,0.2032910211655455,0.5590710302038873,-0.19176765698149956,1.0,primary,0.45
balanced,2024-04,2024-04-29,2024-04-30,009830,한화솔루션,KOSPI,False,True,24807.0,101416746417.0,5578892046589.019,13.605971789705084,0.5583471303199523,0.0176966178901116,0.9090909090909092,0.0909090909090909,0.8939929328621908,75.0,日 수출 규제(국산화 등),0.9375,1.0,2.0,74159774355.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,0.0,0.0,-3.422421090821137,-2.660539363889225,True,24807.0,24807.0,23958.0,24147.0,False,False,RETROSPECTIVE_PROXY,True,True,2.60884872066597,-16.273006134969325,0.8650736485781995,0.5851854699717426,0.6078364046971598,0.22627720105084548,1.0,primary,-2.960539363889225
balanced,2024-04,2024-04-30,2024-05-02,099440,스맥,KOSDAQ,False,True,3491.0,26158433046.0,238214815789.4737,15.519523494374576,1.6286108932605123,0.0747636780292179,0.9292543021032504,0.0707456978967495,0.8814531548757171,80.0,3D 프린터,0.7777777777777778,1.0,1.0,13242974188.75,0.0,0.0,,,,False,False,,,,DAILY_PROXY,0.0,2.291606989401318,-1.83328559152105,0.9739329704955502,True,3491.0,3571.0,3427.0,3525.0,False,False,RETROSPECTIVE_PROXY,True,True,2.205866686209455,-6.785934608266498,0.6369606970624743,0.5466081127641088,0.5410971567899988,-0.13004306452549358,1.0,primary,0.45
balanced,2024-05,2024-05-02,2024-05-03,079550,LIG디펜스앤에어로스페이스,KOSPI,False,True,178900.0,121507448800.0,3935800000000.0,11.256218905472636,0.6082269287846193,0.0755170486305198,0.9132653061224488,0.086734693877551,0.8826530612244898,80.0,방위산업/전쟁 및 테러,0.6851851851851852,3.0,2.0,314356016750.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,-0.6707657909446607,-0.1117942984907749,-4.695360536612636,-4.359977641140301,True,177700.0,178700.0,170500.0,171100.0,False,False,RETROSPECTIVE_PROXY,True,True,2.584172053696826,-10.217755443886102,0.3758305716341651,0.12675272274232147,0.5761023664139118,-0.36468004779927604,1.0,primary,-4.6599776411403
balanced,2024-05,2024-05-03,2024-05-07,002380,KCC,KOSPI,False,True,280500.0,39430165500.0,2410321369294.606,13.33333333333333,1.462235434492183,0.0866310160427807,0.8933333333333333,0.1066666666666666,0.7866666666666666,80.0,리모델링/인테리어,0.6666666666666666,1.0,0.0,906657296.25,0.0,0.0,,,,False,False,,,,DAILY_PROXY,-0.1782531194295944,3.3868092691622165,-1.426024955436722,1.0695187165775444,True,280000.0,290000.0,276500.0,283500.0,False,False,RETROSPECTIVE_PROXY,True,True,2.361090216882954,-2.941176470588236,0.1460353853199569,-0.004104802459143388,0.5522780627586825,-0.5419626017902848,1.0,primary,0.45
balanced,2024-05,2024-05-09,2024-05-10,042000,카페24,KOSDAQ,False,True,19390.0,100606585590.0,468872332506.2035,19.691358024691358,2.087697331656161,0.1519339865910263,0.840625,0.159375,0.78125,65.0,모바일솔루션(스마트폰),0.4,2.0,2.0,107219328620.0,10.0,9.0,1.0,카페24(주) 연결재무제표 기준 영업(잠정)실적(공정공시),2024-05-08T15:51:13+09:00,True,False,,,,DAILY_PROXY,0.0,1.1346054667354275,-5.673027333677149,-4.796286745745226,True,19390.0,19610.0,18290.0,18460.0,False,False,RETROSPECTIVE_PROXY,True,True,2.0667674947466943,-4.085257548845467,1.1875366238657814,1.2743326129619303,0.6556036513900828,0.36073016680475295,1.0,backup,0.45
balanced,2024-05,2024-05-10,2024-05-13,114840,아이패밀리에스씨,KOSDAQ,False,True,32700.0,72750567600.0,545469827586.2069,17.204301075268823,4.046569910477111,0.1773700305810397,0.5828220858895705,0.4171779141104294,0.558282208588957,70.0,화장품,0.7397260273972602,2.0,2.0,126102498425.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,3.0581039755351647,7.645259938837912,-4.587155963302747,-0.7645259938837912,True,33700.0,35200.0,31200.0,32450.0,False,False,RETROSPECTIVE_PROXY,True,True,3.564119246312954,11.823647294589179,0.6688858071811764,0.503492751934726,0.5784332525608656,-0.1445994548701774,1.0,backup,2.758103975535165
